cust_id,loan_value,salary,late_cnt,missed_inst,dpd,arrears_flag
SYN-243,556748.0,57029.0,1,0,0.0,0
SYN-244,624226.0,147196.0,3,0,32.0,1
SYN-245,345008.0,119712.0,6,0,6.0,1
SYN-246,233803.0,56600.0,2,0,7.0,0
SYN-247,323435.0,152096.0,3,1,27.0,0
SYN-248,614364.0,83021.0,2,0,18.0,0
SYN-249,625343.0,99129.0,0,0,36.0,0
SYN-250,680119.0,88096.0,0,0,13.0,1
SYN-251,157556.0,108207.0,3,0,5.0,0
SYN-252,745740.0,102021.0,3,2,3.0,1
SYN-253,634926.0,71188.0,4,0,0.0,1
SYN-254,75929.0,93683.0,1,1,7.0,0
SYN-255,335258.0,166251.0,0,1,24.0,0
SYN-256,446705.0,105434.0,5,0,17.0,1
SYN-257,356525.0,167458.0,0,0,10.0,0
SYN-258,149804.0,112519.0,1,0,0.0,0
SYN-259,226244.0,145323.0,1,1,13.0,1
SYN-260,70877.0,74039.0,2,0,22.0,0
SYN-261,129116.0,148562.0,3,1,15.0,1
SYN-262,276355.0,69648.0,3,1,12.0,0
SYN-263,746975.0,32932.0,2,1,0.0,1
SYN-264,497642.0,54109.0,1,0,20.0,0
SYN-265,410823.0,33248.0,0,0,0.0,1
SYN-266,612839.0,172059.0,2,1,15.0,1
SYN-267,510284.0,179997.0,2,0,41.0,1
SYN-268,161787.0,144335.0,0,1,0.0,0
SYN-269,239230.0,46219.0,4,0,7.0,0
SYN-270,239144.0,164842.0,2,0,10.0,0
SYN-271,559960.0,141566.0,1,1,4.0,0
SYN-272,442381.0,79837.0,0,0,22.0,0
SYN-273,379447.0,105342.0,0,0,16.0,0
SYN-274,523143.0,129264.0,2,0,12.0,1
SYN-275,874598.0,33608.0,3,0,20.0,0
SYN-276,317064.0,105231.0,2,1,10.0,1
SYN-277,492166.0,139859.0,2,0,48.0,1
SYN-278,458315.0,58234.0,3,0,12.0,0
SYN-279,659147.0,96569.0,1,0,12.0,0
SYN-280,670747.0,109880.0,0,2,0.0,0
SYN-281,669710.0,140335.0,2,0,3.0,0
SYN-282,221292.0,174668.0,3,2,24.0,0
SYN-283,431729.0,157241.0,5,1,0.0,1
SYN-284,739498.0,123228.0,1,0,0.0,0
SYN-285,374301.0,117546.0,3,1,10.0,0
SYN-286,886617.0,120478.0,0,1,26.0,1
SYN-287,360069.0,111777.0,1,0,11.0,0
SYN-288,473017.0,38904.0,0,0,6.0,0
SYN-289,453347.0,134744.0,1,1,0.0,0
SYN-290,418614.0,137451.0,2,1,15.0,1
SYN-291,768787.0,106872.0,0,1,18.0,0
SYN-292,181984.0,160558.0,0,3,0.0,0
SYN-293,532515.0,130866.0,1,0,24.0,0
SYN-294,575811.0,84400.0,1,1,19.0,0
SYN-295,773538.0,32954.0,1,1,24.0,1
SYN-296,567820.0,38874.0,1,0,17.0,0
SYN-297,866017.0,82770.0,0,0,18.0,0
SYN-298,791343.0,99316.0,1,0,16.0,0
SYN-299,346429.0,55031.0,2,1,20.0,0
SYN-300,780920.0,58399.0,3,0,0.0,1
SYN-301,864706.0,64532.0,1,1,0.0,1
SYN-302,268618.0,147077.0,2,0,1.0,0
SYN-303,568677.0,145693.0,2,0,8.0,0
SYN-304,289533.0,87441.0,2,1,15.0,1
SYN-305,602132.0,55855.0,0,0,14.0,0
SYN-306,129596.0,46636.0,0,1,23.0,0
SYN-307,674060.0,43069.0,1,0,24.0,0
SYN-308,406847.0,88692.0,0,1,0.0,0
SYN-309,549211.0,36831.0,0,0,13.0,1
SYN-310,71983.0,80045.0,0,2,0.0,0
SYN-311,641125.0,174230.0,1,0,8.0,0
SYN-312,471593.0,106126.0,3,0,14.0,0
SYN-313,581463.0,153397.0,2,0,0.0,0
SYN-314,318318.0,49390.0,2,0,39.0,1
SYN-315,173947.0,70212.0,4,0,17.0,0
SYN-316,420115.0,171982.0,2,1,3.0,1
SYN-317,852382.0,87533.0,1,0,33.0,1
SYN-318,243625.0,127261.0,1,0,6.0,0
SYN-319,624463.0,176419.0,0,0,12.0,0
SYN-320,92367.0,112618.0,0,0,4.0,0
SYN-321,660385.0,75802.0,1,1,30.0,1
SYN-322,252672.0,109792.0,0,0,9.0,0
SYN-323,433790.0,38196.0,3,1,12.0,0
SYN-324,362590.0,46855.0,2,3,24.0,1
SYN-325,145914.0,31076.0,0,0,17.0,0
SYN-326,343745.0,162632.0,1,0,9.0,0
SYN-327,347606.0,130692.0,2,0,23.0,0
SYN-328,493790.0,74749.0,0,0,40.0,0
SYN-329,876499.0,63174.0,2,0,14.0,0
SYN-330,449515.0,132461.0,4,2,11.0,1
SYN-331,827262.0,167930.0,0,1,12.0,0
SYN-332,442324.0,74871.0,1,0,26.0,1
SYN-333,141412.0,78234.0,2,1,3.0,0
SYN-334,245630.0,158136.0,1,0,7.0,0
SYN-335,396390.0,164006.0,1,1,0.0,1
SYN-336,326563.0,167105.0,2,0,0.0,0
SYN-337,785955.0,73973.0,3,1,4.0,0
SYN-338,626849.0,48047.0,2,1,9.0,0
SYN-339,541562.0,96000.0,0,1,31.0,1
SYN-340,467545.0,74365.0,2,1,16.0,1
SYN-341,387680.0,162580.0,0,0,0.0,0
SYN-342,570364.0,35495.0,3,1,1.0,0
SYN-343,155916.0,125082.0,1,0,26.0,0
SYN-344,188153.0,165927.0,0,1,24.0,0
SYN-345,307649.0,176501.0,2,0,10.0,0
SYN-346,195507.0,127520.0,3,0,5.0,0
SYN-347,625534.0,172488.0,3,0,23.0,0
SYN-348,71053.0,41349.0,1,0,0.0,0
SYN-349,186151.0,83892.0,3,1,15.0,0
SYN-350,817217.0,31307.0,0,1,37.0,0
SYN-351,897912.0,177178.0,1,1,12.0,0
SYN-352,464452.0,165409.0,4,0,1.0,1
SYN-353,471065.0,34208.0,1,2,15.0,1
SYN-354,707389.0,32720.0,2,0,4.0,0
SYN-355,80761.0,85045.0,2,0,0.0,0
SYN-356,412968.0,68781.0,1,1,18.0,0
SYN-357,134854.0,157040.0,0,0,23.0,0
SYN-358,390787.0,54073.0,0,0,6.0,0
SYN-359,886249.0,148597.0,2,0,5.0,0
SYN-360,690588.0,113169.0,1,0,0.0,1
SYN-361,887289.0,86609.0,2,1,8.0,1
SYN-362,684141.0,51858.0,0,0,3.0,0
SYN-363,566894.0,179654.0,0,0,0.0,0
SYN-364,691088.0,122698.0,2,0,33.0,0
SYN-365,610228.0,95907.0,0,0,16.0,0
SYN-366,444456.0,85669.0,3,1,17.0,0
SYN-367,298664.0,165859.0,0,2,21.0,1
SYN-368,492151.0,153179.0,1,1,19.0,0
SYN-369,269719.0,151678.0,6,1,5.0,0
SYN-370,463675.0,122430.0,0,0,13.0,0
SYN-371,174215.0,163193.0,1,1,7.0,0
SYN-372,530586.0,74892.0,0,0,15.0,0
SYN-373,258491.0,135556.0,3,0,14.0,0
SYN-374,299567.0,90667.0,1,1,5.0,1
SYN-375,474174.0,120000.0,3,0,0.0,1
SYN-376,188147.0,179723.0,1,1,12.0,0
SYN-377,868023.0,177679.0,2,1,8.0,0
SYN-378,429903.0,106893.0,1,2,0.0,0
SYN-379,349437.0,116080.0,1,0,16.0,0
SYN-380,74817.0,164598.0,2,0,22.0,0
SYN-381,766766.0,177845.0,1,1,40.0,1
SYN-382,581959.0,146791.0,1,0,5.0,0
SYN-383,403944.0,39778.0,3,0,4.0,0
SYN-384,258703.0,78396.0,1,1,0.0,0
SYN-385,683367.0,164484.0,0,2,13.0,1
SYN-386,853653.0,145253.0,4,1,12.0,1
SYN-387,373688.0,141335.0,2,0,0.0,0
SYN-388,164645.0,130188.0,0,0,8.0,0
SYN-389,142816.0,92290.0,0,0,0.0,0
SYN-390,55408.0,90486.0,3,0,21.0,0
SYN-391,682362.0,151340.0,1,0,1.0,0
SYN-392,884186.0,74067.0,1,0,10.0,0
SYN-393,893895.0,132725.0,0,0,0.0,0
SYN-394,716568.0,138931.0,2,0,3.0,0
SYN-395,187856.0,156683.0,1,0,7.0,0
SYN-396,881053.0,77983.0,1,0,10.0,1
SYN-397,328641.0,141283.0,4,0,16.0,1
SYN-398,333577.0,45973.0,2,1,27.0,1
SYN-399,634236.0,50709.0,2,0,19.0,0
SYN-400,91692.0,92600.0,2,1,22.0,0
SYN-401,751904.0,38284.0,3,0,27.0,0
SYN-402,897703.0,172155.0,2,0,17.0,1
SYN-403,708809.0,165284.0,1,0,10.0,0
SYN-404,714425.0,37340.0,0,0,22.0,0
SYN-405,381767.0,155747.0,3,0,23.0,0
SYN-406,106033.0,106331.0,2,1,18.0,1
SYN-407,723767.0,135294.0,3,1,0.0,0
SYN-408,557584.0,163040.0,0,0,0.0,0
SYN-409,822938.0,116546.0,2,0,7.0,0
SYN-410,148568.0,47449.0,4,1,19.0,1
SYN-411,309355.0,30387.0,1,0,10.0,0
SYN-412,356558.0,104538.0,3,0,24.0,0
SYN-413,630788.0,172385.0,2,1,26.0,0
SYN-414,719583.0,115893.0,3,0,24.0,1
SYN-415,866867.0,85941.0,1,1,24.0,1
SYN-416,301096.0,34638.0,0,0,0.0,0
SYN-417,469591.0,167247.0,0,0,16.0,0
SYN-418,74617.0,79073.0,3,0,3.0,0
SYN-419,265040.0,135717.0,1,1,0.0,0
SYN-420,367903.0,134136.0,2,0,7.0,0
SYN-421,554735.0,68082.0,1,1,26.0,1
SYN-422,450219.0,39567.0,1,1,16.0,1
SYN-423,359804.0,87750.0,1,1,34.0,1
SYN-424,580466.0,77570.0,1,0,12.0,0
SYN-425,754323.0,135038.0,3,0,39.0,1
SYN-426,255429.0,152967.0,1,0,12.0,0
SYN-427,341444.0,63367.0,2,0,10.0,0
SYN-428,649185.0,109235.0,1,1,0.0,0
SYN-429,711250.0,36091.0,2,0,23.0,1
SYN-430,751587.0,62138.0,3,1,4.0,0
SYN-431,227932.0,144264.0,2,0,2.0,0
SYN-432,508377.0,149010.0,1,0,25.0,0
SYN-433,815009.0,146461.0,7,0,24.0,1
SYN-434,383158.0,51358.0,1,1,24.0,1
SYN-435,415401.0,112655.0,1,0,6.0,0
SYN-436,887100.0,93406.0,1,0,9.0,0
SYN-437,146095.0,178723.0,1,1,9.0,0
SYN-438,649762.0,128110.0,2,0,19.0,0
SYN-439,772657.0,170280.0,0,0,29.0,0
SYN-440,178174.0,51803.0,3,0,14.0,0
SYN-441,657285.0,97631.0,1,0,34.0,0
SYN-442,449277.0,145741.0,2,0,21.0,0
SYN-443,774957.0,85179.0,0,0,7.0,0
SYN-444,821334.0,124876.0,4,0,20.0,0
SYN-445,791612.0,106755.0,0,0,30.0,1
SYN-446,104727.0,178789.0,1,0,34.0,0
SYN-447,693327.0,56081.0,2,0,24.0,0
SYN-448,833298.0,170302.0,1,0,10.0,0
SYN-449,578146.0,90236.0,2,0,7.0,0
SYN-450,560745.0,100199.0,5,0,17.0,0
SYN-451,88255.0,109290.0,3,0,30.0,1
SYN-452,777628.0,69805.0,1,0,15.0,0
SYN-453,89443.0,174549.0,2,1,15.0,0
SYN-454,316483.0,166723.0,3,1,11.0,1
SYN-455,836984.0,175936.0,4,0,6.0,1
SYN-456,857283.0,179538.0,1,0,8.0,0
SYN-457,893115.0,130470.0,0,0,12.0,0
SYN-458,454942.0,97753.0,1,1,31.0,1
SYN-459,200815.0,157610.0,0,0,7.0,0
SYN-460,464753.0,33571.0,0,0,11.0,0
SYN-461,136966.0,155161.0,2,0,0.0,0
SYN-462,791656.0,104593.0,2,0,19.0,0
SYN-463,526457.0,130983.0,0,0,26.0,0
SYN-464,393830.0,86107.0,4,1,29.0,1
SYN-465,117601.0,85293.0,2,1,12.0,0
SYN-466,394455.0,34758.0,3,0,17.0,0
SYN-467,786263.0,93568.0,1,0,8.0,0
SYN-468,647895.0,91253.0,0,0,16.0,0
SYN-469,120087.0,63719.0,1,0,14.0,0
SYN-470,185921.0,67098.0,0,0,11.0,0
SYN-471,383462.0,117621.0,0,0,12.0,1
SYN-472,136169.0,77666.0,0,1,15.0,0
SYN-473,843935.0,154538.0,3,2,6.0,1
SYN-474,604448.0,46708.0,2,1,7.0,0
SYN-475,130600.0,116647.0,3,1,30.0,1
SYN-476,719849.0,54007.0,0,0,43.0,0
SYN-477,363145.0,109236.0,1,0,0.0,0
SYN-478,258140.0,112882.0,3,0,0.0,0
SYN-479,534487.0,126345.0,1,0,0.0,0
SYN-480,61366.0,94114.0,0,0,9.0,0
SYN-481,445588.0,106421.0,2,1,21.0,1
SYN-482,767234.0,57143.0,3,0,17.0,1
SYN-483,838849.0,99452.0,1,0,12.0,0
SYN-484,341171.0,85955.0,1,0,16.0,0
SYN-485,596071.0,129920.0,2,2,2.0,0
SYN-486,242800.0,95223.0,0,0,7.0,0
SYN-487,526181.0,146901.0,0,0,10.0,0
SYN-488,265924.0,93899.0,2,0,0.0,0
SYN-489,535653.0,65366.0,2,1,0.0,0
SYN-490,195964.0,71053.0,1,2,0.0,1
SYN-491,850048.0,36793.0,0,0,19.0,1
SYN-492,803880.0,110988.0,1,1,13.0,0
SYN-493,336381.0,154632.0,1,0,17.0,0
SYN-494,710163.0,145367.0,0,1,0.0,0
SYN-495,131179.0,95668.0,0,0,0.0,0
SYN-496,679307.0,59418.0,1,0,18.0,0
SYN-497,290090.0,159523.0,0,1,0.0,0
SYN-498,165296.0,38517.0,2,0,25.0,0
SYN-499,626463.0,89883.0,0,0,0.0,0
SYN-500,449336.0,158492.0,1,1,20.0,0
SYN-501,500619.0,88977.0,1,2,0.0,0
SYN-502,492450.0,47681.0,2,0,23.0,0
SYN-503,100531.0,69892.0,0,1,48.0,1
SYN-504,93673.0,120004.0,0,1,0.0,0
SYN-505,560992.0,52805.0,1,0,18.0,0
SYN-506,580285.0,128240.0,5,1,0.0,1
SYN-507,90098.0,95724.0,1,0,15.0,0
SYN-508,371673.0,80158.0,3,1,8.0,0
SYN-509,570924.0,66139.0,4,0,12.0,1
SYN-510,608179.0,153499.0,2,0,0.0,0
SYN-511,754034.0,89501.0,1,0,19.0,0
SYN-512,407622.0,140772.0,0,0,0.0,0
SYN-513,516019.0,96053.0,2,1,25.0,0
SYN-514,541776.0,43780.0,1,2,5.0,0
SYN-515,315238.0,96076.0,3,0,0.0,1
SYN-516,95752.0,106153.0,1,0,29.0,0
SYN-517,53592.0,98676.0,2,0,9.0,1
SYN-518,760707.0,152436.0,1,0,33.0,0
SYN-519,220197.0,166628.0,1,0,25.0,0
SYN-520,585716.0,148017.0,0,1,0.0,1
SYN-521,540490.0,117417.0,0,1,9.0,1
SYN-522,389688.0,111217.0,2,0,11.0,1
SYN-523,758469.0,126692.0,2,0,28.0,1
SYN-524,643641.0,73175.0,4,1,15.0,1
SYN-525,69330.0,151777.0,3,0,12.0,0
SYN-526,710190.0,158527.0,0,0,8.0,0
SYN-527,480949.0,70083.0,0,0,9.0,0
SYN-528,344966.0,165423.0,2,0,26.0,0
SYN-529,667852.0,157310.0,3,0,10.0,1
SYN-530,633156.0,93673.0,0,1,5.0,1
SYN-531,314000.0,166350.0,3,0,3.0,1
SYN-532,885583.0,48066.0,1,0,3.0,1
SYN-533,601402.0,34198.0,0,0,0.0,0
SYN-534,564913.0,82180.0,2,1,1.0,0
